class,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
2,8170.23,1.00,6.00,13.00,108.77,306.05,54.00,1.09531,792.48,2771.31,2527.02,261.057,299.203,5.00,60.9531,0.923325,188.00,0.833333,0.00,78.5193,73.3662,1.02502
2,8743.22,4.00,14.00,32.00,112.63,169.19,54.00,0.751977,1162.88,2932.23,2568.88,171.029,206.05,4.00,36.335,0.899662,348.00,0.571429,2.0525,80.1452,80.0415,1.03085
2,7339.17,2.00,10.00,22.00,186.24,272.44,49.5,1.00888,1029.78,3424.31,2506.23,205.615,261.338,4.00,46.8032,0.896506,283.00,0.483333,0.00,80.5015,69.6558,1.03944
2,17884.00,1.00,20.00,41.00,265.03,422.27,75.00,0.683695,2417.85,5855.85,5367.97,271.356,452.511,11.00,58.9661,0.856953,645.00,0.576905,0.56,79.2985,84.2781,1.04852
2,17218.2,4.00,11.00,26.00,177.04,228.76,27.00,0.961682,1312.57,4329.04,5013.56,153.86,230.84,3.00,50.4777,0.905535,359.00,0.454545,0.00,100.47,101.791,1.03347
2,798.879,1.00,6.00,13.00,41.91,177.91,25.5,0.42981,461.32,649.33,248.524,185.198,226.781,4.00,35.4815,0.886147,286.00,0.555556,2.96,98.3243,76.0825,1.04151
2,780.339,5.00,10.00,25.00,87.98,124.68,25.5,0.411336,780.186,1026.18,279.976,81.5886,92.4559,4.00,31.2024,0.886163,449.00,0.45,1.99,70.6711,66.3149,1.04431
2,645.44,1.00,12.00,25.00,117.29,131.07,40.5,0.513034,718.779,1159.74,285.236,131.13,171.441,6.00,28.746,0.888539,360.00,0.365278,0.00,74.5399,68.424,1.03953
2,1037.77,1.00,12.00,25.00,70.9,168.45,25.5,0.526868,624.948,1051.04,364.668,180.371,218.314,7.00,24.994,0.854863,311.00,0.545833,2.44,81.2066,77.3262,1.05373
2,1334.96,1.00,4.00,9.00,124.62,148.75,37.5,0.651142,453.059,921.405,432.727,168.007,228.24,3.00,50.3344,0.841556,175.00,0.75,0.00,97.5505,90.0321,1.05053
2,550.143,2.00,5.00,12.00,75.88,123.5,40.5,0.469753,352.02,535.312,181.886,126.994,183.502,4.00,29.3292,0.863727,223.00,0.8,0.00,70.7279,101.355,1.05469
2,1213.35,1.00,10.00,21.00,84.65,96.55,36.00,0.623821,623.289,1240.79,452.875,120.708,165.764,5.00,29.6743,0.847813,290.00,0.443333,3.055,72.2179,56.8078,1.05567
2,1730.28,1.00,7.00,15.00,91.81,152.05,39.00,0.789851,430.89,1053.25,569.563,165.56,206.525,5.00,28.7213,0.891052,153.00,0.619048,0.00,68.4975,67.6595,1.04124
2,747.576,1.00,13.00,27.00,51.22,157.54,49.5,0.5544,680.432,1135.35,321.075,171.604,202.286,8.00,25.1974,0.84976,249.00,0.65035,1.02,88.6732,58.3296,1.06632
2,6398.98,4.00,16.00,36.00,203.91,292.49,10.5,0.538091,1515.94,2652.38,1863.87,212.005,243.943,6.00,42.1042,0.929067,395.00,0.454167,2.47,68.1689,52.5753,1.02021
2,13058.5,3.00,14.00,31.00,163.53,202.4,28.5,0.899988,1139.57,3541.58,3821.16,231.27,267.384,7.00,36.7558,0.911529,322.00,0.60119,2.95,74.3107,53.2682,1.02571
2,6862.7,7.00,7.00,21.00,106.05,208.13,9.00,0.739285,1163.04,2677.43,2041.06,135.833,182.081,3.00,55.3786,0.934915,260.00,0.571429,3.055,62.2932,45.7127,1.01743
2,5557.00,6.00,7.00,20.00,182.4,368.19,27.00,0.892388,1366.1,3723.17,2027.2,251.46,290.95,3.00,68.2995,0.891003,268.00,0.571429,0.00,64.9088,54.8929,1.02919

